pollen,station,datetime,week
0,Melbourne,20/12/2014,51
20,Melbourne,21/12/2014,52
20,Melbourne,22/12/2014,52
17,Melbourne,23/12/2014,52
0,Melbourne,24/12/2014,52
0,dummy,24/12/2014,52
15,Melbourne,25/12/2014,52
5,Melbourne,26/12/2014,52
0,Melbourne,27/12/2014,52
22,Melbourne,28/12/2014,53
34,Melbourne,29/12/2014,53
2,Melbourne,30/12/2014,53
0,dummy,31/12/2014,53
0,Melbourne,31/12/2014,53
0,dummy,07/01/2015,2
0,dummy,12/02/2015,7
0,dummy,13/02/2015,7
0,dummy,11/03/2015,11
0,dummy,05/09/2015,36
0,dummy,05/09/2015,36
0,dummy,05/09/2015,36
0,dummy,08/09/2015,37
0,dummy,08/09/2015,37
0,dummy,15/09/2015,38
0,dummy,22/09/2015,39
0,dummy,24/09/2015,39
0,dummy,25/09/2015,39
0,Melbourne,29/09/2015,40
0,Melbourne,30/09/2015,40
0,Melbourne,01/10/2015,40
0,Melbourne,01/10/2015,40
0,Melbourne,02/10/2015,40
0,dummy,02/10/2015,40
0,dummy,02/10/2015,40
0,Melbourne,03/10/2015,40
0,Melbourne,04/10/2015,41
0,dummy,05/10/2015,41
5,Melbourne,05/10/2015,41
0,dummy,06/10/2015,41
0,dummy,06/10/2015,41
0,dummy,06/10/2015,41
0,Melbourne,06/10/2015,41
0,dummy,06/10/2015,41
7,Melbourne,06/10/2015,41
0,dummy,06/10/2015,41
7,Melbourne,07/10/2015,41
0,dummy,07/10/2015,41
0,dummy,07/10/2015,41
9,Melbourne,09/10/2015,41
0,dummy,09/10/2015,41
0,dummy,09/10/2015,41
5,Melbourne,09/10/2015,41
3,Melbourne,10/10/2015,41
0,dummy,10/10/2015,41
0,dummy,11/10/2015,42
5,Melbourne,11/10/2015,42
0,dummy,11/10/2015,42
7,Melbourne,12/10/2015,42
0,dummy,12/10/2015,42
0,dummy,12/10/2015,42
0,dummy,12/10/2015,42
0,dummy,12/10/2015,42
0,dummy,12/10/2015,42
0,dummy,13/10/2015,42
0,Melbourne,13/10/2015,42
14,Melbourne,14/10/2015,42
0,dummy,14/10/2015,42
39,Melbourne,15/10/2015,42
39,dummy,15/10/2015,42
17,Melbourne,16/10/2015,42
0,dummy,17/10/2015,42
0,dummy,17/10/2015,42
8,Melbourne,17/10/2015,42
0,dummy,18/10/2015,43
5,Melbourne,18/10/2015,43
0,dummy,19/10/2015,43
12,Melbourne,19/10/2015,43
0,dummy,20/10/2015,43
0,dummy,20/10/2015,43
7,Melbourne,20/10/2015,43
0,HealthCheck,20/10/2015,43
0,dummy,20/10/2015,43
0,dummy,20/10/2015,43
9,Melbourne,21/10/2015,43
0,dummy,22/10/2015,43
5,Melbourne,22/10/2015,43
2,Melbourne,23/10/2015,43
0,dummy,23/10/2015,43
9,Melbourne,24/10/2015,43
0,dummy,24/10/2015,43
22,Melbourne,25/10/2015,44
7,Melbourne,26/10/2015,44
0,dummy,26/10/2015,44
3,Melbourne,27/10/2015,44
0,dummy,27/10/2015,44
0,dummy,28/10/2015,44
0,dummy,28/10/2015,44
0,dummy,28/10/2015,44
58,Melbourne,28/10/2015,44
0,dummy,28/10/2015,44
58,dummy,28/10/2015,44
34,Melbourne,29/10/2015,44
0,dummy,30/10/2015,44
29,Melbourne,30/10/2015,44
23,Melbourne,31/10/2015,44
20,Melbourne,01/11/2015,45
10,Melbourne,02/11/2015,45
4,Melbourne,03/11/2015,45
23,Melbourne,04/11/2015,45
10,Melbourne,05/11/2015,45
14,Melbourne,06/11/2015,45
9,Melbourne,07/11/2015,45
5,Melbourne,08/11/2015,46
58,Melbourne,09/11/2015,46
26,Melbourne,10/11/2015,46
9,Melbourne,11/11/2015,46
0,RemembranceDay,11/11/2015,46
37,Melbourne,12/11/2015,46
21,Melbourne,13/11/2015,46
0,dummy,13/11/2015,46
7,Melbourne,14/11/2015,46
14,Melbourne,15/11/2015,47
22,Melbourne,16/11/2015,47
56,Melbourne,17/11/2015,47
44,Melbourne,18/11/2015,47
